namespace	accession	name	description
CAZY	GH10_e77	dbCAN-sub cluster GH10_e77	dbCAN-sub eCAMI cluster of CAZy family GH10.
CAZY	GH10_e78	dbCAN-sub cluster GH10_e78	dbCAN-sub eCAMI cluster of CAZy family GH10.
CAZY	GH10_e8	dbCAN-sub cluster GH10_e8	dbCAN-sub eCAMI cluster of CAZy family GH10.
CAZY	GH10_e83	dbCAN-sub cluster GH10_e83	dbCAN-sub eCAMI cluster of CAZy family GH10.
CAZY	GH10_e85	dbCAN-sub cluster GH10_e85	dbCAN-sub eCAMI cluster of CAZy family GH10.
CAZY	GH10_e88	dbCAN-sub cluster GH10_e88	dbCAN-sub eCAMI cluster of CAZy family GH10.
CAZY	GH10_e90	dbCAN-sub cluster GH10_e90	dbCAN-sub eCAMI cluster of CAZy family GH10.
CAZY	GH10_e96	dbCAN-sub cluster GH10_e96	dbCAN-sub eCAMI cluster of CAZy family GH10.
CAZY	GH10_e97	dbCAN-sub cluster GH10_e97	dbCAN-sub eCAMI cluster of CAZy family GH10.
CAZY	GH10_e98	dbCAN-sub cluster GH10_e98	dbCAN-sub eCAMI cluster of CAZy family GH10.
CAZY	GH11_e0	dbCAN-sub cluster GH11_e0	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e10	dbCAN-sub cluster GH11_e10	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e11	dbCAN-sub cluster GH11_e11	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e13	dbCAN-sub cluster GH11_e13	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e14	dbCAN-sub cluster GH11_e14	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e15	dbCAN-sub cluster GH11_e15	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e16	dbCAN-sub cluster GH11_e16	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e17	dbCAN-sub cluster GH11_e17	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e2	dbCAN-sub cluster GH11_e2	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e20	dbCAN-sub cluster GH11_e20	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e22	dbCAN-sub cluster GH11_e22	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e23	dbCAN-sub cluster GH11_e23	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e24	dbCAN-sub cluster GH11_e24	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e39	dbCAN-sub cluster GH11_e39	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e42	dbCAN-sub cluster GH11_e42	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e5	dbCAN-sub cluster GH11_e5	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e7	dbCAN-sub cluster GH11_e7	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH11_e8	dbCAN-sub cluster GH11_e8	dbCAN-sub eCAMI cluster of CAZy family GH11.
CAZY	GH16_e14	dbCAN-sub cluster GH16_e14	dbCAN-sub eCAMI cluster of CAZy family GH16.
CAZY	GH26_e54	dbCAN-sub cluster GH26_e54	dbCAN-sub eCAMI cluster of CAZy family GH26.
CAZY	GH30_e138	dbCAN-sub cluster GH30_e138	dbCAN-sub eCAMI cluster of CAZy family GH30.
CAZY	GH30_e145	dbCAN-sub cluster GH30_e145	dbCAN-sub eCAMI cluster of CAZy family GH30.
CAZY	GH30_e48	dbCAN-sub cluster GH30_e48	dbCAN-sub eCAMI cluster of CAZy family GH30.
CAZY	GH30_e78	dbCAN-sub cluster GH30_e78	dbCAN-sub eCAMI cluster of CAZy family GH30.
CAZY	GH43_e261	dbCAN-sub cluster GH43_e261	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH5_e130	dbCAN-sub cluster GH5_e130	dbCAN-sub eCAMI cluster of CAZy family GH5.
CAZY	GH5_e141	dbCAN-sub cluster GH5_e141	dbCAN-sub eCAMI cluster of CAZy family GH5.
CAZY	GH5_e243	dbCAN-sub cluster GH5_e243	dbCAN-sub eCAMI cluster of CAZy family GH5.
CAZY	GH5_e29	dbCAN-sub cluster GH5_e29	dbCAN-sub eCAMI cluster of CAZy family GH5.
CAZY	GH5_e319	dbCAN-sub cluster GH5_e319	dbCAN-sub eCAMI cluster of CAZy family GH5.
CAZY	GH5_e55	dbCAN-sub cluster GH5_e55	dbCAN-sub eCAMI cluster of CAZy family GH5.
CAZY	GH5_e77	dbCAN-sub cluster GH5_e77	dbCAN-sub eCAMI cluster of CAZy family GH5.
CAZY	GH51_e9	dbCAN-sub cluster GH51_e9	dbCAN-sub eCAMI cluster of CAZy family GH51.
CAZY	GH8_e19	dbCAN-sub cluster GH8_e19	dbCAN-sub eCAMI cluster of CAZy family GH8.
CAZY	GH8_e37	dbCAN-sub cluster GH8_e37	dbCAN-sub eCAMI cluster of CAZy family GH8.
CAZY	GH8_e9	dbCAN-sub cluster GH8_e9	dbCAN-sub eCAMI cluster of CAZy family GH8.
CAZY	GH9_e16	dbCAN-sub cluster GH9_e16	dbCAN-sub eCAMI cluster of CAZy family GH9.
CAZY	GH98_e0	dbCAN-sub cluster GH98_e0	dbCAN-sub eCAMI cluster of CAZy family GH98.
CAZY	GH120_e0	dbCAN-sub cluster GH120_e0	dbCAN-sub eCAMI cluster of CAZy family GH120.
CAZY	GH3_e0	dbCAN-sub cluster GH3_e0	dbCAN-sub eCAMI cluster of CAZy family GH3.
CAZY	GH3_e165	dbCAN-sub cluster GH3_e165	dbCAN-sub eCAMI cluster of CAZy family GH3.
CAZY	GH3_e21	dbCAN-sub cluster GH3_e21	dbCAN-sub eCAMI cluster of CAZy family GH3.
CAZY	GH3_e32	dbCAN-sub cluster GH3_e32	dbCAN-sub eCAMI cluster of CAZy family GH3.
CAZY	GH3_e50	dbCAN-sub cluster GH3_e50	dbCAN-sub eCAMI cluster of CAZy family GH3.
CAZY	GH3_e73	dbCAN-sub cluster GH3_e73	dbCAN-sub eCAMI cluster of CAZy family GH3.
CAZY	GH3_e88	dbCAN-sub cluster GH3_e88	dbCAN-sub eCAMI cluster of CAZy family GH3.
CAZY	GH39_e131	dbCAN-sub cluster GH39_e131	dbCAN-sub eCAMI cluster of CAZy family GH39.
CAZY	GH39_e264	dbCAN-sub cluster GH39_e264	dbCAN-sub eCAMI cluster of CAZy family GH39.
CAZY	GH39_e57	dbCAN-sub cluster GH39_e57	dbCAN-sub eCAMI cluster of CAZy family GH39.
CAZY	GH39_e74	dbCAN-sub cluster GH39_e74	dbCAN-sub eCAMI cluster of CAZy family GH39.
CAZY	GH43_e264	dbCAN-sub cluster GH43_e264	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e285	dbCAN-sub cluster GH43_e285	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e330	dbCAN-sub cluster GH43_e330	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e398	dbCAN-sub cluster GH43_e398	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e459	dbCAN-sub cluster GH43_e459	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e53	dbCAN-sub cluster GH43_e53	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e59	dbCAN-sub cluster GH43_e59	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e67	dbCAN-sub cluster GH43_e67	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH5_e288	dbCAN-sub cluster GH5_e288	dbCAN-sub eCAMI cluster of CAZy family GH5.
CAZY	GH51_e4	dbCAN-sub cluster GH51_e4	dbCAN-sub eCAMI cluster of CAZy family GH51.
CAZY	GH52_e0	dbCAN-sub cluster GH52_e0	dbCAN-sub eCAMI cluster of CAZy family GH52.
CAZY	GH43_e0	dbCAN-sub cluster GH43_e0	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e118	dbCAN-sub cluster GH43_e118	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e124	dbCAN-sub cluster GH43_e124	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e159	dbCAN-sub cluster GH43_e159	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e173	dbCAN-sub cluster GH43_e173	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e188	dbCAN-sub cluster GH43_e188	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e194	dbCAN-sub cluster GH43_e194	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e2	dbCAN-sub cluster GH43_e2	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e239	dbCAN-sub cluster GH43_e239	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e259	dbCAN-sub cluster GH43_e259	dbCAN-sub eCAMI cluster of CAZy family GH43.
CAZY	GH43_e311	dbCAN-sub cluster GH43_e311	dbCAN-sub eCAMI cluster of CAZy family GH43.
