gift_id	namespace	accession	name	relation	notes
methionine_biosynthesis_sulfhydrylation	KEGG_PATHWAY	map00270	Cysteine and methionine metabolism	subset_of	
cysteine_biosynthesis_sulfide	KEGG_MODULE	M00021	Cysteine biosynthesis, serine => cysteine	equivalent	Module boundaries retained; the sulfide input is declared explicitly.
cysteine_biosynthesis_sulfide	KEGG_PATHWAY	map00270	Cysteine and methionine metabolism	subset_of	
cysteine_biosynthesis_sulfide	KEGG_PATHWAY	map00920	Sulfur metabolism	subset_of	
cysteine_biosynthesis_homocysteine	KEGG_MODULE	M00338	Cysteine biosynthesis, homocysteine + serine => cysteine	superset_of	The module is one of the two curated routes; the other uses O-acetyl-L-serine.
cysteine_biosynthesis_homocysteine	KEGG_MODULE	M00609	Cysteine biosynthesis, methionine => cysteine	overlaps	Only the two cysteine-forming steps of the module are curated; its four SAM-cycle steps are a different capability.
cysteine_biosynthesis_homocysteine	KEGG_PATHWAY	map00270	Cysteine and methionine metabolism	subset_of	
galactose_degradation_leloir	KEGG_MODULE	M00632	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	equivalent	Same boundaries.
galactose_degradation_leloir	KEGG_PATHWAY	map00052	Galactose metabolism	subset_of	
glucuronate_degradation	KEGG_MODULE	M00061	Glucuronate degradation, glucuronate => pyruvate + glyceraldehyde-3P	equivalent	Same boundaries.
glucuronate_degradation	KEGG_PATHWAY	map00040	Pentose and glucuronate interconversions	subset_of	
galacturonate_degradation	KEGG_PATHWAY	map00040	Pentose and glucuronate interconversions	subset_of	No KEGG module covers the galacturonate-specific head of this route.
xylose_degradation_isomerase	KEGG_PATHWAY	map00040	Pentose and glucuronate interconversions	subset_of	
arabinose_degradation	KEGG_PATHWAY	map00040	Pentose and glucuronate interconversions	subset_of	
fucose_degradation_isomerase	KEGG_PATHWAY	map00051	Fructose and mannose metabolism	subset_of	
rhamnose_degradation	KEGG_PATHWAY	map00051	Fructose and mannose metabolism	subset_of	
glcnac_degradation	KEGG_PATHWAY	map00520	Amino sugar and nucleotide sugar metabolism	subset_of	
neuac_degradation	KEGG_PATHWAY	map00520	Amino sugar and nucleotide sugar metabolism	subset_of	
xylose_uptake_abc	KEGG_PATHWAY	map02010	ABC transporters	related	Biologically adjacent context only. The KEGG map catalogues transporter architectures; it makes no claim about this substrate.
arabinose_uptake_abc	KEGG_PATHWAY	map02010	ABC transporters	related	Biologically adjacent context only. The KEGG map catalogues transporter architectures; it makes no claim about this substrate.
starch_degradation	KEGG_PATHWAY	map00500	Starch and sucrose metabolism	subset_of	
xylan_degradation	KEGG_PATHWAY	map00500	Starch and sucrose metabolism	related	Adjacent context only; the xylan capabilities are not part of this map.
arabinoxylan_debranching	KEGG_PATHWAY	map00500	Starch and sucrose metabolism	related	Adjacent context only; the xylan capabilities are not part of this map.
flagellar_apparatus	KEGG_PATHWAY	map02040	Flagellar assembly	subset_of	The KEGG map additionally contains the transcriptional regulators of flagellar gene expression (FlhDC, FliA, FlgM), which this structural GIFT deliberately excludes.
chemotaxis_signal_transduction	KEGG_PATHWAY	map02030	Bacterial chemotaxis	subset_of	The KEGG map additionally contains the flagellar motor the pathway steers, which is a separate structural GIFT, and receptor families whose signals this claim does not name.
aspartate_chemoreception	KEGG_PATHWAY	map02030	Bacterial chemotaxis	subset_of	One receptor input of the KEGG map together with the shared downstream signalling functions.
phosphate_starvation_response	KEGG_PATHWAY	map02020	Two-component system	subset_of	One of many two-component systems the KEGG map collects.
pyruvate_to_acetyl_coa	KEGG_PATHWAY	map00620	Pyruvate metabolism	subset_of	
acetate_interconversion	KEGG_MODULE	M00579	Phosphate acetyltransferase-acetate kinase pathway, acetyl-CoA => acetate	equivalent	Same boundaries and same two reactions. gifter additionally records the direction per route and states that the markers do not evidence it.
acetate_interconversion	KEGG_PATHWAY	map00620	Pyruvate metabolism	subset_of	
butyrate_formation	KEGG_PATHWAY	map00650	Butanoate metabolism	subset_of	The pathway map contains both terminal routes; gifter curates only the CoA-transferase one, so the relation is subset_of rather than overlaps.
propanediol_formation	KEGG_PATHWAY	map00640	Propanoate metabolism	subset_of	
propionate_formation_propanediol	KEGG_PATHWAY	map00640	Propanoate metabolism	subset_of	
propionate_formation_acrylate	KEGG_PATHWAY	map00640	Propanoate metabolism	subset_of	
lactate_formation	KEGG_PATHWAY	map00620	Pyruvate metabolism	subset_of	
lactate_racemisation	KEGG_PATHWAY	map00620	Pyruvate metabolism	subset_of	
malolactic_fermentation	KEGG_PATHWAY	map00620	Pyruvate metabolism	subset_of	
ethanol_formation	KEGG_PATHWAY	map00620	Pyruvate metabolism	subset_of	The map draws both the AdhE route and the pyruvate decarboxylase route; gifter curates only the first.
acetoin_formation	KEGG_PATHWAY	map00650	Butanoate metabolism	subset_of	The map continues to butane-2,3-diol, where gifter stops at acetoin.
riboflavin_biosynthesis	KEGG_MODULE	M00125	Riboflavin biosynthesis, plants and bacteria, GTP => riboflavin/FMN/FAD	overlaps	gifter stops at riboflavin and adds the lumazine synthase and riboflavin synthase steps that the module definition omits, so the boundaries overlap rather than match.
paba_biosynthesis	KEGG_MODULE	M00126	Tetrahydrofolate biosynthesis, GTP => THF	related	KEGG places 4-aminobenzoate synthesis outside the folate module; gifter curates it as its own capability.
folate_biosynthesis	KEGG_MODULE	M00126	Tetrahydrofolate biosynthesis, GTP => THF	subset_of	gifter takes 4-aminobenzoate as an input anchor and curates its synthesis separately, so this GIFT covers less than the module.
folate_biosynthesis	KEGG_MODULE	M00840	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	related	An alternative pterin route curated in 83 organisms; not curated here.
hmp_phosphate_biosynthesis	KEGG_MODULE	M00127	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	subset_of	The module spans both moieties and their condensation; this GIFT is the pyrimidine branch only.
thiazole_phosphate_biosynthesis	KEGG_MODULE	M00127	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	subset_of	The thiazole branch of the module.
thiazole_phosphate_biosynthesis	KEGG_MODULE	M00895	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP	subset_of	The glycine-dependent variant is the ThiO route curated here.
thiamine_phosphate_biosynthesis	KEGG_MODULE	M00127	Thiamine biosynthesis, prokaryotes, AIR (+ DXP/tyrosine) => TMP/TPP	subset_of	The condensation step of the module, without the TPP kinase.
thiamine_precursor_salvage	KEGG_MODULE	M00899	Thiamine salvage pathway, HMP/HET => TMP	superset_of	gifter stops before the ThiE condensation, which is its own GIFT, and covers both precursor kinases.
pantothenate_biosynthesis	KEGG_MODULE	M00119	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	superset_of	gifter adds the aspartate decarboxylase and the pantothenate synthetase that the module definition omits, and drops the branched-chain aminotransferase, which belongs to valine metabolism.
plp_biosynthesis_r5p	KEGG_MODULE	M00916	Pyridoxal phosphate biosynthesis, R5P + glyceraldehyde-3P + glutamine => pyridoxal-P	equivalent	Same boundaries and same two jointly required subunits.
plp_biosynthesis_dxp	KEGG_MODULE	M00124	Pyridoxal phosphate biosynthesis, erythrose-4P => pyridoxal-P	equivalent	Same six steps and same boundaries.
biotin_biosynthesis	KEGG_MODULE	M00123	Biotin biosynthesis, pimeloyl-ACP/CoA => biotin	equivalent	Same boundaries and same four steps.
quinolinate_biosynthesis_aspartate	KEGG_MODULE	M00115	NAD biosynthesis, aspartate => quinolinate => NAD	subset_of	The ring-forming half of the module.
namn_biosynthesis_quinolinate	KEGG_MODULE	M00115	NAD biosynthesis, aspartate => quinolinate => NAD	subset_of	One step of the module.
nad_biosynthesis_namn	KEGG_MODULE	M00115	NAD biosynthesis, aspartate => quinolinate => NAD	subset_of	The trunk of the module, shared with salvage.
namn_salvage_nicotinate	KEGG_MODULE	M00622	Nicotinate degradation, nicotinate => fumarate	related	A different fate for nicotinate; gifter curates its recovery into NAD rather than its catabolism.
corrin_ring_biosynthesis	KEGG_MODULE	M00924	Cobalamin biosynthesis, anaerobic, uroporphyrinogen III => sirohydrochlorin => cobyrinate a,c-diamide	equivalent	Same boundaries; curated here as one of two routes of one capability.
corrin_ring_biosynthesis	KEGG_MODULE	M00925	Cobalamin biosynthesis, aerobic, uroporphyrinogen III => precorrin 2 => cobyrinate a,c-diamide	equivalent	The aerobic route of the same capability.
cobinamide_biosynthesis	KEGG_MODULE	M00122	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	subset_of	gifter splits the module at adenosylcobinamide phosphate, because the ring and the nucleotide loop are separately present in genomes.
cobamide_nucleotide_loop_assembly	KEGG_MODULE	M00122	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	subset_of	The lower-loop half of the module.
dmb_biosynthesis_aerobic	KEGG_MODULE	M00122	Cobalamin biosynthesis, cobyrinate a,c-diamide => cobalamin	related	KEGG places lower-ligand synthesis outside the cobalamin module.
menaquinone_biosynthesis	KEGG_MODULE	M00116	Menaquinone biosynthesis, chorismate (+ polyprenyl-PP) => menaquinol	overlaps	Same boundaries, but gifter accepts EntC for the isochorismate synthase reaction and does not require MenH or the thioesterase.
menaquinone_biosynthesis	KEGG_MODULE	M00930	Menaquinone biosynthesis, futalosine pathway	subset_of	gifter curates the futalosine route as one route of this capability and carries it through to the methylated quinone.
menaquinone_biosynthesis	KEGG_MODULE	M00931	Menaquinone biosynthesis, modified futalosine pathway	related	The modified route differs only in the deaminase step, which is curated as not required here.
acetyl_coa_to_isocitrate	KEGG_MODULE	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	subset_of	gifter cuts the module at the isocitrate branchpoint after citrate synthase and aconitase.
isocitrate_to_oxoglutarate	KEGG_MODULE	M00010	Citrate cycle, first carbon oxidation, oxaloacetate => 2-oxoglutarate	subset_of	The oxidative branch from the isocitrate cut to the module output.
oxoglutarate_to_succinate	KEGG_MODULE	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	subset_of	gifter cuts this module at succinate and fumarate, so each segment is part of it.
succinate_fumarate_interconversion	KEGG_MODULE	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	subset_of	gifter cuts this module at succinate and fumarate, so each segment is part of it.
fumarate_oxaloacetate_interconversion	KEGG_MODULE	M00011	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	subset_of	gifter cuts this module at succinate and fumarate, so each segment is part of it.
acetyl_coa_to_isocitrate	KEGG_MODULE	M00009	Citrate cycle (TCA cycle, Krebs cycle)	subset_of	Upper segment ending at the isocitrate branchpoint.
acetyl_coa_to_isocitrate	KEGG_PATHWAY	map00020	Citrate cycle (TCA cycle)	subset_of	Upper segment ending at the isocitrate branchpoint.
isocitrate_to_oxoglutarate	KEGG_MODULE	M00009	Citrate cycle (TCA cycle, Krebs cycle)	subset_of	Oxidative isocitrate branch.
isocitrate_to_oxoglutarate	KEGG_PATHWAY	map00020	Citrate cycle (TCA cycle)	subset_of	Oxidative isocitrate branch.
oxoglutarate_to_succinate	KEGG_MODULE	M00009	Citrate cycle (TCA cycle, Krebs cycle)	subset_of	
oxoglutarate_to_succinate	KEGG_PATHWAY	map00020	Citrate cycle (TCA cycle)	subset_of	
succinate_fumarate_interconversion	KEGG_MODULE	M00009	Citrate cycle (TCA cycle, Krebs cycle)	subset_of	
succinate_fumarate_interconversion	KEGG_PATHWAY	map00020	Citrate cycle (TCA cycle)	subset_of	
fumarate_oxaloacetate_interconversion	KEGG_MODULE	M00009	Citrate cycle (TCA cycle, Krebs cycle)	subset_of	
fumarate_oxaloacetate_interconversion	KEGG_PATHWAY	map00020	Citrate cycle (TCA cycle)	subset_of	
chorismate_biosynthesis	KEGG_MODULE	M00022	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	overlaps	Same boundaries, reached independently. gifter does not require the shikimate dehydrogenase step, accepts YdiB for it, and excludes the eukaryotic pentafunctional AROM polypeptide K13830, which no prokaryotic genome in KEGG carries.
chorismate_biosynthesis	KEGG_PATHWAY	map00400	Phenylalanine, tyrosine and tryptophan biosynthesis	subset_of	The map continues from chorismate to the three aromatic amino acids; gifter stops at the branchpoint.
salicylate_biosynthesis	KEGG_PATHWAY	map01053	Biosynthesis of siderophore group nonribosomal peptides	subset_of	The map covers assembly of the complete siderophores; gifter curates only the formation of the salicylate building block.
indole_3_acetate_biosynthesis	KEGG_PATHWAY	map00380	Tryptophan metabolism	subset_of	The map carries every tryptophan fate including catabolism; gifter curates one biosynthetic branch of it.
urate_degradation	KEGG_PATHWAY	map00230	Purine metabolism	subset_of	gifter curates only the urate-to-allantoin segment of the map.
allantoin_degradation	KEGG_PATHWAY	map00230	Purine metabolism	subset_of	gifter curates only the allantoin-to-glyoxylate segment of the map.
urea_hydrolysis	KEGG_PATHWAY	map00220	Arginine biosynthesis	subset_of	The map carries urease; gifter curates the hydrolysis alone and takes urea as a boundary rather than as an arginine-cycle intermediate.
nitrate_assimilation	KEGG_MODULE	M00531	Assimilatory nitrate reduction, nitrate => ammonia	equivalent	Same boundaries; gifter materialises the four alternative minimal routes the module expresses as a definition.
nitrate_assimilation	KEGG_PATHWAY	map00910	Nitrogen metabolism	subset_of	The map also carries respiration, denitrification and nitrification, none of which gifter models.
ammonium_assimilation	KEGG_PATHWAY	map00910	Nitrogen metabolism	subset_of	gifter curates only the ammonium-to-glutamate segment.
betaine_demethylation	KEGG_PATHWAY	map00260	Glycine, serine and threonine metabolism	subset_of	
sarcosine_demethylation	KEGG_PATHWAY	map00260	Glycine, serine and threonine metabolism	subset_of	
creatinine_degradation	KEGG_PATHWAY	map00330	Arginine and proline metabolism	subset_of	
methylamine_degradation	KEGG_PATHWAY	map00680	Methane metabolism	subset_of	The map treats methylamine as a methylotrophic carbon source; gifter's boundary is the nitrogen released alongside formaldehyde.
taurine_desulfonation_aerobic	KEGG_PATHWAY	map00430	Taurine and hypotaurine metabolism	subset_of	
taurine_degradation_sulfoacetaldehyde	KEGG_PATHWAY	map00430	Taurine and hypotaurine metabolism	subset_of	
benzoate_degradation_catechol	KEGG_MODULE	M00551	Benzoate degradation, benzoate => catechol / methylbenzoate => methylcatechol	subset_of	The module also claims the methylbenzoate branch. gifter curates only the benzoate boundary, because the same orthologues serve both substrates and two traits on one marker set would be indistinguishable.
benzoate_degradation_catechol	KEGG_PATHWAY	map00362	Benzoate degradation	subset_of	
anthranilate_degradation_catechol	KEGG_MODULE	M00637	Anthranilate degradation, anthranilate => catechol	equivalent	Same single reaction and the same boundaries; gifter additionally records the two alternative oxygenase systems as alternatives rather than as one marker set.
phenol_hydroxylation	KEGG_MODULE	M00548	Benzene degradation, benzene => catechol	overlaps	The module names benzene as the substrate and attaches this marker set to benzene hydroxylation as well. gifter curates only the phenol reaction the enzyme performs, so the boundaries overlap rather than agree.
catechol_ortho_cleavage	KEGG_MODULE	M00568	Catechol ortho-cleavage, catechol => 3-oxoadipate	equivalent	Same four reactions and the same boundaries.
oxoadipate_activation	KEGG_PATHWAY	map00362	Benzoate degradation	subset_of	The beta-ketoadipate exit is drawn in the pathway map but is outside the ortho-cleavage module, which stops at 3-oxoadipate.
oxoadipyl_coa_thiolysis	KEGG_PATHWAY	map00362	Benzoate degradation	subset_of	
catechol_meta_cleavage	KEGG_MODULE	M00569	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	subset_of	The module runs to acetyl-CoA and also claims the 4-methylcatechol branch. gifter stops at 2-oxopent-4-enoate, curates the shared lower route as its own GIFT, and does not claim the methylated substrate.
oxopentenoate_degradation	KEGG_MODULE	M00569	Catechol meta-cleavage, catechol => acetyl-CoA / 4-methylcatechol => propanoyl-CoA	subset_of	The lower three reactions of the module, curated once because five KEGG modules duplicate them.
phenylacetate_degradation	KEGG_MODULE	M00878	Phenylacetate degradation, phenylacetate => acetyl-CoA/succinyl-CoA	subset_of	The module runs through the terminal thiolysis, which gifter curates as the separate GIFT oxoadipyl_coa_thiolysis so that the ortho-cleavage funnel and this route share it.
phenylacetate_degradation	KEGG_PATHWAY	map00360	Phenylalanine metabolism	subset_of	
phenylpropanoate_dihydroxylation	KEGG_MODULE	M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	subset_of	The module ORs two entry substrates and runs to acetyl-CoA. gifter curates the 3-phenylpropanoate entry only, as its own GIFT, and does not claim cinnamate.
hydroxyphenylpropanoate_hydroxylation	KEGG_MODULE	M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	subset_of	The module's alternative first step, which acts on a different substrate and is therefore a separate GIFT here.
dihydroxyphenylpropanoate_degradation	KEGG_MODULE	M00545	Trans-cinnamate degradation, trans-cinnamate => acetyl-CoA	subset_of	The module's ring-cleavage segment, cut at 2-oxopent-4-enoate so that the shared lower route is composed rather than duplicated.
glutamine_biosynthesis	KEGG_PATHWAY	map00250	Alanine, aspartate and glutamate metabolism	overlaps	KEGG has no module for glutamine synthetase; the pathway map covers far more chemistry than this boundary.
alanine_biosynthesis	KEGG_PATHWAY	map00250	Alanine, aspartate and glutamate metabolism	overlaps	No KEGG module exists for alanine biosynthesis.
aspartate_biosynthesis	KEGG_PATHWAY	map00250	Alanine, aspartate and glutamate metabolism	overlaps	No KEGG module exists for aspartate biosynthesis.
asparagine_biosynthesis	KEGG_PATHWAY	map00250	Alanine, aspartate and glutamate metabolism	overlaps	No KEGG module exists for asparagine biosynthesis.
dap_biosynthesis	KEGG_MODULE	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	overlaps	The module runs from L-aspartate to L-lysine; this GIFT starts at the semialdehyde and stops at meso-diaminopimelate, and carries three further routes the module does not.
dap_biosynthesis	KEGG_MODULE	M00525	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	overlaps	Same boundary difference; curated here as the acetylated route.
dap_biosynthesis	KEGG_MODULE	M00526	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	overlaps	Same boundary difference; curated here as the dehydrogenase route.
dap_biosynthesis	KEGG_MODULE	M00527	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	overlaps	Same boundary difference; curated here as the aminotransferase route.
lysine_biosynthesis_dap	KEGG_MODULE	M00016	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	subset_of	The final step of the module, curated as its own capability.
oxoisovalerate_biosynthesis	KEGG_MODULE	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	subset_of	The module fuses the valine and isoleucine branches and ends at both amino acids; this GIFT is the shared head of the valine branch only.
valine_biosynthesis	KEGG_MODULE	M00019	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	subset_of	The final step of the valine branch of the module.
leucine_biosynthesis	KEGG_MODULE	M00432	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	superset_of	Same start; this GIFT continues to L-leucine, which the module leaves out.
oxobutanoate_biosynthesis_citramalate	KEGG_MODULE	M00535	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	equivalent	Same boundaries and same chemistry.
isoleucine_biosynthesis	KEGG_MODULE	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	subset_of	The module includes threonine deamination, which gifter curates separately as catabolic chemistry.
phenylalanine_biosynthesis	KEGG_MODULE	M00024	Phenylalanine biosynthesis, chorismate => phenylpyruvate => phenylalanine	equivalent	Same boundaries; the marker set of the final transamination is wider than the module.
tyrosine_biosynthesis	KEGG_MODULE	M00025	Tyrosine biosynthesis, chorismate => HPP => tyrosine	equivalent	Same boundaries; the marker set of the final transamination is wider than the module.
tyrosine_biosynthesis	KEGG_MODULE	M00040	Tyrosine biosynthesis, chorismate => arogenate => tyrosine	related	The arogenate route is not curated: its distinguishing orthology groups are annotated in no bacterial genome.
tryptophan_biosynthesis	KEGG_MODULE	M00023	Tryptophan biosynthesis, chorismate => tryptophan	equivalent	Same boundaries and same five steps.
histidine_biosynthesis	KEGG_MODULE	M00026	Histidine biosynthesis, PRPP => histidine	equivalent	Same boundaries and same chemistry.
proline_biosynthesis	KEGG_MODULE	M00015	Proline biosynthesis, glutamate => proline	equivalent	Same boundaries and same chemistry.
ornithine_biosynthesis	KEGG_MODULE	M00028	Ornithine biosynthesis, glutamate => ornithine	equivalent	Same boundaries; both acetyl-recycling variants are curated as routes.
ornithine_biosynthesis	KEGG_MODULE	M00763	Ornithine biosynthesis, mediated by LysW, glutamate => ornithine	related	Refused for bacteria on evidence: K19412 is annotated in no bacterial genome.
arginine_biosynthesis	KEGG_MODULE	M00844	Arginine biosynthesis, ornithine => arginine	equivalent	Same boundaries and same chemistry.
arginine_deiminase_pathway	KEGG_PATHWAY	map00330	Arginine and proline metabolism	overlaps	KEGG has no module for the arginine deiminase pathway; the map covers much more chemistry.
histidine_degradation_glutamate	KEGG_MODULE	M00045	Histidine degradation, histidine => N-formiminoglutamate => glutamate	equivalent	Same boundaries; gifter curates the formamide-releasing final step and not the folate-dependent alternatives.
threonine_deamination	KEGG_MODULE	M00570	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	subset_of	The first step of the module, curated as its own capability because the chemistry is a deamination.
serine_deamination	KEGG_PATHWAY	map00260	Glycine, serine and threonine metabolism	overlaps	No KEGG module covers serine deamination alone.
glutamate_decarboxylation_gaba	KEGG_MODULE	M00027	GABA (gamma-Aminobutyrate) shunt	subset_of	The first step of the shunt; the transaminase and semialdehyde dehydrogenase steps that follow are not curated here.
tryptophan_degradation_indole	KEGG_PATHWAY	map00380	Tryptophan metabolism	overlaps	KEGG has no module for tryptophanase.
methionine_degradation_methanethiol	KEGG_PATHWAY	map00270	Cysteine and methionine metabolism	overlaps	KEGG has no module for methionine gamma-lyase.
cysteine_degradation_sulfide	KEGG_PATHWAY	map00270	Cysteine and methionine metabolism	overlaps	KEGG has no module for cysteine desulfidation.
glycine_reduction_stickland	KEGG_PATHWAY	map00260	Glycine, serine and threonine metabolism	overlaps	KEGG has no module for the glycine reductase complex.
proline_reduction_stickland	KEGG_PATHWAY	map00330	Arginine and proline metabolism	overlaps	KEGG has no module for the proline reductase complex.
glyoxylate_bypass	KEGG_MODULE	M00012	Glyoxylate cycle	subset_of	gifter curates the branch from isocitrate to succinate and malate; citrate synthase, aconitase and malate dehydrogenase remain separate composable GIFTs. The K19282 malyl-CoA alternative is deferred.
glyoxylate_bypass	KEGG_PATHWAY	map00630	Glyoxylate and dicarboxylate metabolism	subset_of	The two-reaction carbon-conserving branch only.
nitrogen_fixation	KEGG_MODULE	M00175	Nitrogen fixation, nitrogen => ammonia	equivalent	Same molecular boundaries. gifter requires the nitrogenase-specific NifB and EN cofactor assembly for the Mo route and separately materialises the V route.
nitrogen_fixation	KEGG_PATHWAY	map00910	Nitrogen metabolism	subset_of	The nitrogen-fixation reaction only.
assimilatory_sulfate_reduction	KEGG_MODULE	M00176	Assimilatory sulfate reduction, sulfate => H2S	equivalent	Same molecular boundaries. gifter additionally materialises the direct APS branch and refuses K00390 where it cannot distinguish APS from PAPS reductase activity.
assimilatory_sulfate_reduction	KEGG_PATHWAY	map00920	Sulfur metabolism	subset_of	The assimilatory sulfate-to-sulfide route only; dissimilatory reduction is excluded.
ectoine_biosynthesis	METACYC	P101-PWY	Ectoine biosynthesis	subset_of	The GIFT starts at L-aspartate 4-semialdehyde and retains only the EctB-EctA-EctC tail; the record also contains aspartate kinase and aspartate-semialdehyde dehydrogenase.
ectoine_biosynthesis	KEGG_MODULE	M00033	Ectoine biosynthesis, aspartate => ectoine	subset_of	The module starts at aspartate; gifter starts at the existing ASA branchpoint.
